# det_index cls kpt_index x y depth_m
0 0 0 3031.07 1723.60 11.3988
0 0 1 2988.94 900.70 12.3693
0 0 2 1091.92 813.17 19.5111
0 0 3 1138.01 1927.99 19.1314
0 0 4 666.76 1801.04 13.7934
0 0 5 1126.09 1880.58 19.2425
0 0 6 709.26 812.90 14.1179
0 0 7 761.00 1858.91 15.6300
1 0 0 620.18 1737.80 13.1941
1 0 1 627.85 959.64 13.2342
1 0 2 681.21 896.09 14.0088
1 0 3 691.74 1792.59 14.0478
1 0 4 420.18 1682.70 10.6574
1 0 5 675.83 1795.36 13.9644
1 0 6 434.07 891.33 10.9868
1 0 7 429.33 1713.42 10.7971
2 0 0 441.66 893.76 11.0947
2 0 1 444.72 46.68 11.7273
2 0 2 423.53 56.49 11.5135
2 0 3 666.40 15.99 14.2784
2 0 4 693.24 861.91 14.0928
2 0 5 683.38 18.49 14.4229
2 0 6 654.31 0.00 14.1655
2 0 7 470.13 40.90 12.0125
3 0 0 754.42 832.84 14.7290
3 0 1 841.82 542.77 16.0423
3 0 2 992.30 106.56 17.7995
3 0 3 1169.71 779.90 19.7062
3 0 4 1127.24 772.38 19.7862
3 0 5 1080.28 128.32 18.9481
3 0 6 2573.59 307.12 14.5209
3 0 7 2029.39 787.41 16.2458
4 0 0 167.76 1641.96 7.8669
4 0 1 170.69 938.55 8.1236
4 0 2 199.13 987.39 8.3636
4 0 3 373.49 937.31 10.1867
4 0 4 367.62 1696.79 10.1088
4 0 5 370.91 900.79 10.2937
4 0 6 330.29 933.39 9.8989
4 0 7 145.86 900.08 5.8023
5 0 0 3812.44 843.32 12.4808
5 0 1 3781.63 33.19 12.1515
5 0 2 3301.95 0.00 9.9806
5 0 3 3169.04 681.45 9.5408
5 0 4 3373.25 893.95 10.5702
5 0 5 3180.43 217.25 9.4940
5 0 6 3771.64 0.00 12.0918
5 0 7 3627.03 642.09 11.6734
6 0 0 195.89 915.87 8.4633
6 0 1 175.84 187.28 8.7838
6 0 2 159.70 163.90 3.8164
6 0 3 365.82 61.67 3.4799
6 0 4 383.55 862.50 10.3187
6 0 5 374.47 77.42 6.6481
6 0 6 360.31 105.38 10.6688
6 0 7 209.57 112.41 3.8667
7 0 0 3765.46 1803.45 13.7419
7 0 1 3729.58 949.45 12.2588
7 0 2 3332.38 835.13 10.3529
7 0 3 3286.11 1681.75 10.1911
7 0 4 3444.40 1750.16 12.0400
7 0 5 3298.15 1035.15 10.2230
7 0 6 3671.83 850.77 11.9504
7 0 7 3525.58 1699.16 11.1905
8 0 0 3826.02 1794.40 13.3494
8 0 1 3773.53 971.56 12.4085
8 0 2 3370.56 865.93 10.5429
8 0 3 3311.68 1688.94 10.3488
8 0 4 3440.00 1758.83 12.3460
8 0 5 3325.05 1015.82 10.3672
8 0 6 3645.08 876.32 11.8441
8 0 7 3528.68 1699.29 11.2047
9 0 0 92.23 1191.14 5.4557
9 0 1 93.01 447.88 3.8797
9 0 2 69.52 487.16 4.9768
9 0 3 117.90 451.85 3.7908
9 0 4 99.13 1182.23 5.4092
9 0 5 115.03 430.15 3.4979
9 0 6 171.27 481.25 8.5666
9 0 7 87.82 495.09 4.9617
