# image det_index cls kpt_index u v depth_m X Y Z
0 0 0 0 3031.07 1723.60 1.7941 0.4028 0.2334 1.7941
0 0 0 1 2988.94 900.70 1.6721 0.3611 -0.0604 1.6721
0 0 0 2 1091.92 813.17 1.2792 -0.2138 -0.0688 1.2792
0 0 0 3 1138.01 1927.99 1.2921 -0.2039 0.2214 1.2921
0 0 0 4 666.76 1801.04 1.6123 -0.4079 0.2349 1.6123
0 0 0 5 1126.09 1880.58 1.2942 -0.2074 0.2094 1.2942
0 0 0 6 709.26 812.90 1.5647 -0.3824 -0.0842 1.5647
0 0 0 7 761.00 1858.91 1.4739 -0.3448 0.2320 1.4739
0 1 0 0 620.18 1737.80 1.6612 -0.4359 0.2208 1.6612
0 1 0 1 627.85 959.64 1.6187 -0.4222 -0.0392 1.6187
0 1 0 2 681.21 896.09 1.5775 -0.3945 -0.0584 1.5775
0 1 0 3 691.74 1792.59 1.5977 -0.3961 0.2301 1.5977
0 1 0 4 420.18 1682.70 1.8544 -0.5615 0.2259 1.8544
0 1 0 5 675.83 1795.36 1.6070 -0.4036 0.2323 1.6070
0 1 0 6 434.07 891.33 1.8123 -0.5437 -0.0689 1.8123
0 1 0 7 429.33 1713.42 1.8402 -0.5538 0.2356 1.8402
0 2 0 0 441.66 893.76 1.8013 -0.5376 -0.0676 1.8013
0 2 0 1 444.72 46.68 1.8254 -0.5437 -0.3808 1.8254
0 2 0 2 423.53 56.49 1.8374 -0.5551 -0.3796 1.8374
0 2 0 3 666.40 15.99 1.6225 -0.4106 -0.3485 1.6225
0 2 0 4 693.24 861.91 1.5702 -0.3889 -0.0690 1.5702
0 2 0 5 683.38 18.49 1.6033 -0.4003 -0.3436 1.6033
0 2 0 6 654.31 0.00 1.6427 -0.4197 -0.3581 1.6427
0 2 0 7 470.13 40.90 1.7989 -0.5266 -0.3773 1.7989
0 3 0 0 754.42 832.84 1.5332 -0.3608 -0.0764 1.5332
0 3 0 1 841.82 542.77 1.4477 -0.3151 -0.1569 1.4477
0 3 0 2 992.30 106.56 1.3562 -0.2540 -0.2665 1.3562
0 3 0 3 1169.71 779.90 1.2641 -0.1914 -0.0765 1.2641
0 3 0 4 1127.24 772.38 1.2620 -0.2019 -0.0783 1.2620
0 3 0 5 1080.28 128.32 1.3016 -0.2206 -0.2500 1.3016
0 3 0 6 2573.59 307.12 1.5496 0.2047 -0.2417 1.5496
0 3 0 7 2029.39 787.41 1.4184 0.0315 -0.0837 1.4184
