# image det_index cls kpt_index u v depth_m X Y Z
DJI_20230823160823_0063_D 0 0 0 4131.00 1986.16 1.6241 0.6619 0.0038 1.6241
DJI_20230823160823_0063_D 0 0 1 4191.91 1742.78 1.5778 0.6693 -0.1012 1.5778
DJI_20230823160823_0063_D 0 0 2 4372.96 1803.03 1.5358 0.7275 -0.0732 1.5358
DJI_20230823160823_0063_D 0 0 3 4379.54 2049.32 1.5498 0.7369 0.0304 1.5498
DJI_20230823160823_0063_D 0 0 4 4393.53 2053.92 1.5472 0.7415 0.0323 1.5472
DJI_20230823160823_0063_D 0 0 5 4447.78 1804.86 1.5190 0.7505 -0.0717 1.5190
DJI_20230823160823_0063_D 0 0 6 4197.59 1729.81 1.5743 0.6702 -0.1065 1.5743
DJI_20230823160823_0063_D 0 0 7 4129.39 1993.13 1.6252 0.6616 0.0069 1.6252
DJI_20230823160823_0063_D 1 0 0 968.27 1810.21 1.9446 -0.8880 -0.0889 1.9446
DJI_20230823160823_0063_D 1 0 1 905.19 1400.83 2.4413 -1.1569 -0.3847 2.4413
DJI_20230823160823_0063_D 1 0 2 981.01 1298.73 2.3273 -1.0547 -0.4316 2.3273
DJI_20230823160823_0063_D 1 0 3 1252.50 1595.40 1.1122 -0.4215 -0.1161 1.1122
DJI_20230823160823_0063_D 1 0 4 1239.01 1889.24 1.0576 -0.4047 -0.0255 1.0576
DJI_20230823160823_0063_D 1 0 5 1177.00 1389.26 1.0835 -0.4330 -0.1742 1.0835
DJI_20230823160823_0063_D 1 0 6 1832.94 1263.92 1.2395 -0.2732 -0.2417 1.2395
DJI_20230823160823_0063_D 1 0 7 1566.62 1415.95 1.1610 -0.3404 -0.1781 1.1610
DJI_20230823160823_0063_D 2 0 0 2358.64 1555.09 1.9190 -0.1473 -0.2215 1.9190
DJI_20230823160823_0063_D 2 0 1 2344.22 1318.47 1.8671 -0.1506 -0.3362 1.8671
DJI_20230823160823_0063_D 2 0 2 2409.11 1348.52 1.8277 -0.1151 -0.3141 1.8277
DJI_20230823160823_0063_D 2 0 3 2469.40 1596.77 1.8555 -0.0862 -0.1930 1.8555
DJI_20230823160823_0063_D 2 0 4 2485.83 1605.03 1.8473 -0.0776 -0.1880 1.8473
DJI_20230823160823_0063_D 2 0 5 2475.53 1348.63 1.7898 -0.0802 -0.3076 1.7898
DJI_20230823160823_0063_D 2 0 6 2356.69 1304.97 1.8554 -0.1434 -0.3410 1.8554
DJI_20230823160823_0063_D 2 0 7 2358.67 1538.92 1.9079 -0.1464 -0.2286 1.9079
DJI_20230823160823_0063_D 3 0 0 2651.58 1366.82 1.6972 0.0056 -0.2832 1.6972
DJI_20230823160823_0063_D 3 0 1 2639.13 1058.61 1.6489 -0.0002 -0.4140 1.6489
DJI_20230823160823_0063_D 3 0 2 2733.51 995.03 1.8505 0.0475 -0.4968 1.8505
DJI_20230823160823_0063_D 3 0 3 2988.95 1324.51 1.6036 0.1531 -0.2861 1.6036
DJI_20230823160823_0063_D 3 0 4 2935.45 1419.51 1.5916 0.1287 -0.2427 1.5916
DJI_20230823160823_0063_D 3 0 5 2920.61 1051.98 1.6496 0.1267 -0.4172 1.6496
DJI_20230823160823_0063_D 3 0 6 3376.30 988.58 2.2291 0.4488 -0.6023 2.2291
DJI_20230823160823_0063_D 3 0 7 3216.22 1243.06 1.6778 0.2644 -0.3367 1.6778
DJI_20230823160823_0063_D 4 0 0 3501.67 1585.10 2.3002 0.5419 -0.2466 2.3002
DJI_20230823160823_0063_D 4 0 1 3513.67 1393.11 2.2554 0.5387 -0.3602 2.2554
DJI_20230823160823_0063_D 4 0 2 3614.90 1422.86 2.2218 0.5922 -0.3367 2.2218
DJI_20230823160823_0063_D 4 0 3 3645.54 1626.52 2.2407 0.6160 -0.2149 2.2407
DJI_20230823160823_0063_D 4 0 4 3650.50 1634.52 2.2368 0.6179 -0.2096 2.2368
DJI_20230823160823_0063_D 4 0 5 3664.45 1424.42 2.2001 0.6162 -0.3325 2.2001
DJI_20230823160823_0063_D 4 0 6 3516.65 1377.49 2.2494 0.5391 -0.3688 2.2494
DJI_20230823160823_0063_D 4 0 7 3500.51 1578.75 2.2989 0.5409 -0.2505 2.2989
DJI_20230823160823_0063_D 5 0 0 3686.04 1423.78 2.1889 0.6260 -0.3312 2.1889
DJI_20230823160823_0063_D 5 0 1 3708.49 1171.86 2.1073 0.6156 -0.4639 2.1073
DJI_20230823160823_0063_D 5 0 2 3837.81 1203.96 2.0669 0.6768 -0.4369 2.0669
DJI_20230823160823_0063_D 5 0 3 3877.97 1438.73 2.1055 0.7125 -0.3100 2.1055
DJI_20230823160823_0063_D 5 0 4 3891.93 1451.23 2.1036 0.7199 -0.3025 2.1036
DJI_20230823160823_0063_D 5 0 5 3910.82 1198.21 2.0285 0.7047 -0.4320 2.0285
DJI_20230823160823_0063_D 5 0 6 3719.74 1156.27 2.0955 0.6185 -0.4702 2.0955
DJI_20230823160823_0063_D 5 0 7 3688.12 1416.36 2.1861 0.6264 -0.3352 2.1861
DJI_20230823160823_0063_D 6 0 0 1027.58 2207.73 1.2583 -0.5542 0.0792 1.2583
DJI_20230823160823_0063_D 6 0 1 1033.57 1750.09 1.1595 -0.5088 -0.0720 1.1595
DJI_20230823160823_0063_D 6 0 2 1288.28 1649.07 1.1213 -0.4140 -0.1006 1.1213
DJI_20230823160823_0063_D 6 0 3 1607.52 2220.46 1.0594 -0.2987 0.0703 1.0594
DJI_20230823160823_0063_D 6 0 4 1452.53 2445.77 1.0435 -0.3384 0.1335 1.0435
DJI_20230823160823_0063_D 6 0 5 1443.63 1853.81 1.0814 -0.3534 -0.0365 1.0814
DJI_20230823160823_0063_D 6 0 6 2281.51 1641.66 1.8365 -0.1796 -0.1685 1.8365
DJI_20230823160823_0063_D 6 0 7 2120.20 1969.32 1.1752 -0.1668 -0.0026 1.1752
DJI_20230823160823_0063_D 7 0 0 3678.34 1621.31 2.2262 0.6319 -0.2167 2.2262
DJI_20230823160823_0063_D 7 0 1 3695.67 1410.70 2.1794 0.6290 -0.3375 2.1794
DJI_20230823160823_0063_D 7 0 2 3807.30 1455.76 2.1401 0.6829 -0.3051 2.1401
DJI_20230823160823_0063_D 7 0 3 3844.95 1661.11 2.1520 0.7089 -0.1860 2.1520
DJI_20230823160823_0063_D 7 0 4 3859.16 1670.65 2.1468 0.7154 -0.1800 2.1468
DJI_20230823160823_0063_D 7 0 5 3872.43 1454.33 2.1130 0.7119 -0.3021 2.1130
DJI_20230823160823_0063_D 7 0 6 3700.78 1396.77 2.1724 0.6300 -0.3447 2.1724
DJI_20230823160823_0063_D 7 0 7 3681.68 1618.92 2.2244 0.6335 -0.2179 2.2244
DJI_20230823160823_0063_D 8 0 0 3512.34 1382.61 2.2532 0.5374 -0.3663 2.2532
DJI_20230823160823_0063_D 8 0 1 3519.85 1171.35 2.1910 0.5271 -0.4826 2.1910
DJI_20230823160823_0063_D 8 0 2 3636.37 1185.24 2.1418 0.5834 -0.4637 2.1418
DJI_20230823160823_0063_D 8 0 3 3675.41 1398.76 2.1861 0.6188 -0.3457 2.1861
DJI_20230823160823_0063_D 8 0 4 3678.70 1400.29 2.1845 0.6203 -0.3445 2.1845
DJI_20230823160823_0063_D 8 0 5 3691.54 1186.26 2.1188 0.6091 -0.4581 2.1188
DJI_20230823160823_0063_D 8 0 6 3533.12 1168.85 2.1843 0.5334 -0.4827 2.1843
DJI_20230823160823_0063_D 8 0 7 3512.45 1383.79 2.2538 0.5376 -0.3656 2.2538
DJI_20230823160823_0063_D 9 0 0 3361.24 1357.73 2.2955 0.4527 -0.3888 2.2955
DJI_20230823160823_0063_D 9 0 1 3368.36 1145.36 2.2334 0.4448 -0.5078 2.2334
DJI_20230823160823_0063_D 9 0 2 3437.58 1157.19 2.2273 0.4857 -0.4992 2.2273
DJI_20230823160823_0063_D 9 0 3 3473.87 1377.02 2.2697 0.5175 -0.3724 2.2697
DJI_20230823160823_0063_D 9 0 4 3484.28 1378.74 2.2651 0.5229 -0.3706 2.2651
DJI_20230823160823_0063_D 9 0 5 3495.71 1159.54 2.2002 0.5148 -0.4918 2.2002
DJI_20230823160823_0063_D 9 0 6 3382.84 1139.12 2.2495 0.4569 -0.5153 2.2495
DJI_20230823160823_0063_D 9 0 7 3362.57 1354.86 2.3025 0.4549 -0.3917 2.3025
DJI_20230823160823_0063_D 10 0 0 2693.61 1663.18 1.7229 0.0255 -0.1480 1.7229
DJI_20230823160823_0063_D 10 0 1 2678.63 1380.60 1.6830 0.0180 -0.2745 1.6830
DJI_20230823160823_0063_D 10 0 2 2695.78 1296.33 1.6614 0.0256 -0.3092 1.6614
DJI_20230823160823_0063_D 10 0 3 3034.95 1598.19 1.6595 0.1793 -0.1720 1.6595
DJI_20230823160823_0063_D 10 0 4 3007.83 1678.42 1.6623 0.1673 -0.1359 1.6623
DJI_20230823160823_0063_D 10 0 5 2992.68 1426.75 1.6163 0.1560 -0.2432 1.6163
DJI_20230823160823_0063_D 10 0 6 3413.10 1293.67 2.2841 0.4828 -0.4268 2.2841
