epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5223,1.74291,8.99793,0.71274,2.15677,1.93882,0.80478,0.51786,0.57902,0.43183,0.05176,0.08929,0.0091,0.00518,1.12193,9.61444,0.69618,1.17318,1.59141,0.00064,0.00064,0.00064
2,23.1467,1.22215,7.72081,0.69531,1.08835,1.53977,0.75973,0.64286,0.69319,0.45313,0.20384,0.125,0.04814,0.01785,1.07924,8.23805,0.77232,1.6491,1.69699,0.00129816,0.00129816,0.00129816
3,27.835,1.19031,7.35166,0.65215,1.03635,1.47525,0.67379,0.64286,0.67305,0.44969,0.14894,0.14286,0.03561,0.00997,1.05963,8.1003,0.74379,1.6549,1.8355,0.00195446,0.00195446,0.00195446
4,32.5551,1.13147,6.64001,0.6105,0.98096,1.44033,0.78779,0.53044,0.61306,0.44719,0.1673,0.25,0.07236,0.01758,1.12754,6.72643,0.69379,2.33326,1.67377,0.00199151,0.00199151,0.00199151
5,37.2033,1.09907,6.44527,0.59127,0.99728,1.42311,0.8592,0.76287,0.78259,0.57014,0.42594,0.26786,0.14534,0.0388,0.98972,6.69271,0.72152,0.96654,1.54776,0.00198869,0.00198869,0.00198869
6,41.8725,1.06589,6.09698,0.57403,0.94104,1.38598,0.90776,0.64286,0.76618,0.59926,0.47999,0.32143,0.22588,0.07112,0.86941,5.81034,0.65074,1.4391,1.39886,0.00198586,0.00198586,0.00198586
7,46.5585,1.0483,5.88883,0.5769,0.95658,1.38402,0.87595,0.67857,0.75643,0.54286,0.6482,0.5,0.45037,0.21971,0.9546,5.08166,0.63169,1.19461,1.51015,0.00198303,0.00198303,0.00198303
8,51.29,1.01473,5.74344,0.56864,0.90114,1.35296,0.83926,0.66071,0.75493,0.56413,0.6143,0.42857,0.43273,0.16909,0.96489,5.52563,0.62682,1.28394,1.39475,0.0019802,0.0019802,0.0019802
9,56.0062,1.00841,5.36056,0.56097,0.8988,1.35225,0.93695,0.64286,0.7595,0.55658,0.57163,0.375,0.30151,0.13411,0.99574,5.5231,0.65427,1.33273,1.4816,0.00197737,0.00197737,0.00197737
10,60.7605,1.00462,5.28735,0.55647,0.89751,1.3587,0.93724,0.67857,0.80772,0.63001,0.79428,0.53571,0.51688,0.34453,0.87566,4.4793,0.62049,0.80386,1.31129,0.00197454,0.00197454,0.00197454
11,65.4879,0.95241,5.33215,0.55377,0.86157,1.31173,0.86786,0.64286,0.74319,0.60391,0.70635,0.51786,0.52867,0.32772,0.80916,4.58875,0.58678,0.98895,1.30785,0.00197171,0.00197171,0.00197171
12,70.214,0.95805,5.11536,0.54848,0.85734,1.32262,0.92965,0.67857,0.81968,0.66212,0.74391,0.5,0.48258,0.28284,0.80391,4.54499,0.60852,0.78687,1.25971,0.00196889,0.00196889,0.00196889
13,74.9081,0.93139,5.07028,0.55322,0.84432,1.29655,0.85255,0.61961,0.74862,0.57486,0.70136,0.50331,0.53042,0.30245,0.90222,4.99157,0.60671,1.25575,1.37869,0.00196606,0.00196606,0.00196606
14,79.6257,0.96427,4.85861,0.55148,0.85622,1.33154,0.96635,0.69643,0.79606,0.63913,0.71765,0.51786,0.49397,0.30546,0.71807,4.72701,0.60747,0.73475,1.2355,0.00196323,0.00196323,0.00196323
15,84.3052,0.92943,4.81722,0.54625,0.81015,1.28403,0.86446,0.68345,0.79724,0.62485,0.76455,0.51786,0.54113,0.36485,0.85434,4.69192,0.60127,0.7959,1.28742,0.0019604,0.0019604,0.0019604
16,89.062,0.88359,4.6184,0.54347,0.77308,1.25011,0.91948,0.69643,0.83383,0.66739,0.71284,0.53571,0.52044,0.38137,0.77097,4.41198,0.63878,0.78717,1.29606,0.00195757,0.00195757,0.00195757
17,93.7803,0.86771,4.59842,0.54861,0.76166,1.24368,0.95227,0.73214,0.83879,0.69804,0.82217,0.57143,0.57672,0.41126,0.69663,4.15733,0.58493,0.68591,1.19932,0.00195474,0.00195474,0.00195474
18,98.5105,0.87651,4.36135,0.53732,0.7799,1.25394,0.8122,0.78571,0.80737,0.69701,0.80071,0.53571,0.57131,0.3835,0.64019,4.0606,0.58561,0.75055,1.20266,0.00195191,0.00195191,0.00195191
19,103.216,0.85379,4.43359,0.54371,0.75653,1.22802,0.87332,0.78571,0.84718,0.69031,0.84727,0.625,0.6662,0.40008,0.7169,4.07408,0.58687,0.70074,1.19975,0.00194909,0.00194909,0.00194909
20,107.931,0.81142,4.35231,0.54312,0.73553,1.20843,0.80197,0.78571,0.80446,0.6332,0.66344,0.56331,0.55737,0.36145,0.83204,4.42857,0.58492,1.32256,1.26735,0.00194626,0.00194626,0.00194626
21,112.628,0.82112,4.28105,0.52776,0.75426,1.21192,0.97494,0.69487,0.86201,0.68871,0.82964,0.57143,0.59492,0.37441,0.72717,4.14733,0.60113,0.66653,1.19879,0.00194343,0.00194343,0.00194343
22,117.374,0.83796,4.19564,0.53134,0.75175,1.22549,0.86665,0.66071,0.80111,0.63922,0.78461,0.58929,0.57831,0.40729,0.77084,4.12831,0.58296,0.96349,1.27977,0.0019406,0.0019406,0.0019406
23,122.073,0.82313,4.14998,0.53039,0.72866,1.20072,0.88958,0.67857,0.80704,0.66686,0.64261,0.48214,0.46992,0.26261,0.73102,4.59402,0.57783,0.83843,1.21948,0.00193777,0.00193777,0.00193777
24,126.826,0.84947,4.19974,0.53878,0.74777,1.2228,0.90978,0.75,0.82999,0.67775,0.82552,0.57143,0.55506,0.35477,0.73246,4.19458,0.58042,0.7053,1.23809,0.00193494,0.00193494,0.00193494
25,131.57,0.81267,4.10569,0.52987,0.73824,1.19826,0.85845,0.7582,0.86186,0.69399,0.82018,0.58929,0.59472,0.40258,0.72457,3.89792,0.57131,0.65408,1.20023,0.00193211,0.00193211,0.00193211
26,136.256,0.79006,3.96796,0.52634,0.71115,1.19363,0.85915,0.76253,0.83535,0.67328,0.80877,0.60423,0.61433,0.42108,0.75055,3.97647,0.57646,0.71961,1.27265,0.00192929,0.00192929,0.00192929
27,140.927,0.80061,4.11172,0.52899,0.73145,1.19245,0.92915,0.7027,0.83123,0.69377,0.82485,0.58929,0.59256,0.41551,0.66406,3.98619,0.58682,0.62496,1.21189,0.00192646,0.00192646,0.00192646
28,145.637,0.8125,4.07897,0.53136,0.72647,1.20075,0.93941,0.66071,0.82723,0.67395,0.76611,0.53571,0.55291,0.37954,0.73559,4.31224,0.58003,0.76416,1.20484,0.00192363,0.00192363,0.00192363
29,150.352,0.8168,3.87378,0.52179,0.72972,1.20359,0.73273,0.8323,0.84803,0.67456,0.77387,0.55357,0.55432,0.36709,0.74679,4.06016,0.57075,0.79925,1.22927,0.0019208,0.0019208,0.0019208
30,155.03,0.81668,3.8437,0.52054,0.72458,1.20826,0.84065,0.84794,0.88097,0.71928,0.86544,0.57143,0.62843,0.43518,0.6723,3.67188,0.56568,0.64614,1.15609,0.00191797,0.00191797,0.00191797
31,159.802,0.79235,3.94186,0.52254,0.70753,1.18853,0.84743,0.79355,0.84283,0.70936,0.70392,0.59443,0.59882,0.3883,0.62858,4.20457,0.57259,0.68295,1.159,0.00191514,0.00191514,0.00191514
32,164.552,0.76594,3.7421,0.51751,0.66913,1.16904,0.92681,0.76786,0.84327,0.7108,0.76594,0.60714,0.63699,0.4544,0.703,3.76722,0.58005,0.54742,1.25214,0.00191231,0.00191231,0.00191231
