epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6762,3.35866,9.44988,0.71369,3.53858,4.21588,0.00833,0.44643,0.01451,0.00335,0.00367,0.19643,0.00285,0.00199,3.09547,10.8794,0.69284,3.21906,4.1418,0.00064,0.00064,0.00064
2,20.299,3.31464,9.23126,0.67419,3.40113,3.96215,0.00633,0.33929,0.00617,0.00204,0.003,0.16071,0.00231,0.0014,3.24801,10.8769,0.70527,3.2819,4.31388,0.00129816,0.00129816,0.00129816
3,24.9212,3.20697,9.14469,0.64327,3.30874,3.64037,0.00982,0.28571,0.0085,0.00267,0.00368,0.10714,0.00246,0.00148,3.08537,11.0955,0.74148,3.47735,4.83416,0.00195446,0.00195446,0.00195446
4,29.6287,3.019,8.55473,0.62932,3.18063,3.40679,0.14103,0.01786,0.08157,0.02341,0.00523,0.25,0.00476,0.00263,2.91668,10.2963,0.73087,3.19474,3.87934,0.00199151,0.00199151,0.00199151
5,34.5738,2.89712,8.29162,0.61453,3.09263,3.21614,0.23654,0.21429,0.1325,0.04656,0.02049,0.125,0.0116,0.00301,2.47426,9.32158,0.85784,3.41113,3.04583,0.00198869,0.00198869,0.00198869
6,39.3056,2.76313,7.74786,0.60444,2.97921,3.07869,0.22738,0.21429,0.11398,0.03118,0.02659,0.14286,0.01811,0.00708,2.54981,8.60212,0.92779,3.19854,3.13345,0.00198586,0.00198586,0.00198586
7,43.9926,2.69985,7.45613,0.60404,2.84723,2.98414,0.17729,0.28571,0.09449,0.03455,0.13197,0.10714,0.03465,0.01038,2.38488,7.96921,0.78775,3.22663,2.86616,0.00198303,0.00198303,0.00198303
8,48.717,2.54646,7.19447,0.59409,2.72218,2.86131,0.23672,0.25,0.18688,0.08231,0.07219,0.125,0.03728,0.01963,2.43811,7.14399,0.67933,2.78892,2.83373,0.0019802,0.0019802,0.0019802
9,53.4553,2.46994,6.89834,0.59629,2.67651,2.81635,0.23379,0.32143,0.18482,0.06826,0.12726,0.23214,0.07269,0.02509,2.24655,6.77383,0.69598,2.94762,2.71673,0.00197737,0.00197737,0.00197737
10,58.3632,2.36844,6.77515,0.59264,2.54103,2.69907,0.42505,0.32143,0.32585,0.12537,0.20627,0.16071,0.10252,0.04511,2.20844,6.5547,0.67914,3.19511,2.7068,0.00197454,0.00197454,0.00197454
11,63.0446,2.33407,6.86993,0.57861,2.46298,2.66123,0.23372,0.39286,0.16883,0.05625,0.1558,0.23214,0.08958,0.03337,2.22583,6.7922,0.69162,2.94026,2.78613,0.00197171,0.00197171,0.00197171
12,67.8056,2.31043,6.66187,0.57335,2.4131,2.62739,0.40926,0.3588,0.2791,0.1023,0.26001,0.26786,0.1411,0.05125,2.04783,6.28206,0.68238,2.69296,2.51776,0.00196889,0.00196889,0.00196889
13,72.4804,2.1853,6.54752,0.57682,2.32754,2.57407,0.4771,0.42857,0.41,0.17751,0.31562,0.28571,0.20795,0.0879,1.93517,5.99406,0.66606,2.18736,2.46931,0.00196606,0.00196606,0.00196606
14,77.217,2.14521,6.39789,0.57067,2.24464,2.52047,0.71897,0.39286,0.4926,0.28304,0.26759,0.28571,0.22238,0.09279,1.78551,6.05847,0.66016,1.89435,2.41286,0.00196323,0.00196323,0.00196323
15,81.9413,2.07157,6.30934,0.56632,2.12806,2.47644,0.71365,0.44643,0.48034,0.26787,0.48376,0.21429,0.18786,0.08106,1.83008,5.92729,0.66572,1.97166,2.45868,0.0019604,0.0019604,0.0019604
