epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1686,3.83505,11.235,4.78979,4.28108,0.00293,0.03693,0.00153,0.00049,0.00315,0.03977,0.00164,0.0008,4.14218,5.20571,4.51797,4.16063,0.00014443,0.00014443,0.00014443
2,34.8584,3.97397,6.74174,4.7007,4.19602,0.00087,0.00568,0.00044,0.00011,0.0039,0.02557,0.00211,0.00089,4.14379,5.2142,4.5162,4.16127,0.000299475,0.000299475,0.000299475
3,39.3351,4.05709,5.21666,4.62712,4.14152,0.0027,0.03409,0.00141,0.00046,0.00428,0.05398,0.00243,0.00098,4.14072,5.19095,4.51679,4.15991,0.000454007,0.000454007,0.000454007
4,43.9922,3.89826,4.83531,4.4037,4.0111,0,0,0,0,0.00652,0.02557,0.00417,0.00153,4.14663,5.05017,4.53015,4.16854,0.000608025,0.000608025,0.000608025
5,48.6478,3.9334,4.54197,4.19133,3.88865,0,0,0,0,0.00654,0.02557,0.00421,0.00154,4.24801,4.79178,4.59031,4.28063,0.000761531,0.000761531,0.000761531
6,53.3217,3.84009,4.47842,3.91938,3.77177,0,0,0,0,0.0202,0.00568,0.01256,0.00126,4.33673,4.65755,4.69806,4.43417,0.000914522,0.000914522,0.000914522
7,57.7854,3.80683,4.34377,3.76549,3.63533,0.02551,0.0142,0.01341,0.00481,0.03061,0.01705,0.01584,0.00525,4.36935,4.88153,4.75108,4.61118,0.001067,0.001067,0.001067
8,62.5773,3.76827,4.40529,3.59338,3.56197,0.00385,0.01989,0.00207,0.00046,0.00605,0.03125,0.00328,0.00096,4.30228,4.37989,4.83467,4.61499,0.00109817,0.00109817,0.00109817
9,67.3337,3.63845,4.37768,3.50926,3.51695,0.00744,0.05966,0.00427,0.00113,0.0124,0.09943,0.00822,0.00306,4.08597,4.45408,4.35322,4.30125,0.00109633,0.00109633,0.00109633
10,71.94,3.5484,4.35694,3.45439,3.42954,0.02311,0.03977,0.00538,0.00132,0.02831,0.04545,0.00682,0.00214,3.74172,4.10002,3.62239,3.73153,0.0010945,0.0010945,0.0010945
