epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0509,3.83505,11.235,4.78979,4.28108,0.00293,0.03693,0.00153,0.00049,0.00315,0.03977,0.00164,0.0008,4.14218,5.20571,4.51797,4.16063,0.00014443,0.00014443,0.00014443
2,28.7597,3.97625,6.71869,4.70282,4.19676,0.00087,0.00568,0.00044,0.00011,0.0039,0.02557,0.00211,0.00089,4.1442,5.21411,4.51481,4.16105,0.000299673,0.000299673,0.000299673
3,33.2392,4.05389,5.14702,4.62365,4.12389,0.00214,0.03977,0.00112,0.00037,0.00306,0.05682,0.00218,0.00078,4.14052,5.18932,4.51678,4.16015,0.000454608,0.000454608,0.000454608
4,37.8545,3.9097,4.77104,4.37129,3.98989,0.00193,0.03693,0.00102,0.00037,0.00298,0.05682,0.00194,0.00078,4.14915,5.03932,4.52712,4.17599,0.000609235,0.000609235,0.000609235
5,42.4525,3.95295,4.55003,4.15907,3.88089,0,0,0,0,0.00724,0.02273,0.00397,0.00132,4.2777,4.672,4.60916,4.31692,0.000763554,0.000763554,0.000763554
6,47.127,3.88704,4.4889,3.87557,3.75437,0,0,0,0,0.00958,0.0142,0.0075,0.00301,4.36738,4.69689,4.79314,4.5042,0.000917565,0.000917565,0.000917565
7,51.6351,3.83752,4.39615,3.7145,3.61006,0.01126,0.0142,0.00576,0.00104,0.01802,0.02273,0.00925,0.00219,4.34063,4.63058,4.829,4.43478,0.00107127,0.00107127,0.00107127
8,56.4387,3.83114,4.44768,3.53035,3.53466,0.00157,0.00852,0.0012,0.00023,0.00313,0.01705,0.002,0.00056,4.09118,4.22416,4.45273,4.28166,0.0011033,0.0011033,0.0011033
9,61.1859,3.70593,4.42975,3.43822,3.48272,0.00819,0.07386,0.00445,0.00121,0.00945,0.08523,0.00516,0.00172,3.98277,4.16731,4.20749,4.11213,0.0011022,0.0011022,0.0011022
10,65.8137,3.61214,4.3698,3.37181,3.40591,0.03854,0.03576,0.01033,0.00292,0.02887,0.03125,0.00888,0.00303,3.50645,4.04119,3.69489,3.65578,0.0011011,0.0011011,0.0011011
11,70.1902,3.54699,4.21615,3.40685,3.34396,0.05739,0.02557,0.00979,0.00227,0.04424,0.01989,0.00652,0.00179,3.38244,4.35358,4.58597,3.60615,0.0011,0.0011,0.0011
